"fagency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_id"
"LTFRB","","Alabang - Malanday via EDSA, McArthur","MRT-3 Magallanes Station, EDSA, Makati City, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City","3","","FFFFFF","","LTFRB_PUB1092"
"LTFRB","","Alabang - Malanday via EDSA, McArthur","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila","3","","FFFFFF","","LTFRB_PUB1093"
"LTFRB","","Alabang - Navotas Terminal via EDSA","MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila","3","","FFFFFF","","LTFRB_PUB1095"
"LTFRB","","Alabang - Novaliches via EDSA, NLEX","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - North Luzon Expressway / Santiago Street Intersection, Valenzuela City","3","","FFFFFF","","LTFRB_PUB1096"
"LTFRB","","Alabang - Novaliches via EDSA, NLEX","North Luzon Expressway, Valenzuela City - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila","3","","FFFFFF","","LTFRB_PUB1097"
"LTFRB","","Alabang-Novaliches via EDSA, MindanaoAve","National Hwy, Muntinlupa City, Manila - Quirino Highway, Quezon City","3","","FFFFFF","","LTFRB_PUB1100"
"LTFRB","","Alabang-Novaliches via EDSA, MindanaoAve","Quirino Highway, Quezon City - National Hwy, Muntinlupa City, Manila","3","","FFFFFF","","LTFRB_PUB1101"
"LTFRB","","Alabang-SM Fairview via Lagro Commonwealth","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Belfast / Bulalakaw Intersection, Quezon City","3","","","","LTFRB_PUB1102"
"LTFRB","","Alabang-SM Fairview via Lagro Commonwealth","Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila","3","","","","LTFRB_PUB1103"
"LTFRB","","Antipolo-Divisoria via Shaw Blvd","P. Oliveros St, Antipolo City, Manila - Sto. Cristo / Claro M. Recto Ave Intersection, Manila","3","","","","LTFRB_PUB1106"
"LTFRB","","Antipolo-Divisoria via Shaw Blvd","Sto. Cristo / Claro M. Recto Ave Intersection, Manila - P. Oliveros St, Antipolo City, Manila","3","","","","LTFRB_PUB1107"
"LTFRB","","Asturias-Ayala via Buendia Ave, Taft Ave","Makati Ave / Ayala Avenue Intersection, Makati City, Manila - President Quirino Ave / Angel Linao Intersection, Manila","3","","","","LTFRB_PUB1108"
"LTFRB","","Asturias-Ayala via Buendia Ave, Taft Ave","South Luzon Expressway, Makati City, Manila - Makati Ave / Ayala Avenue Intersection, Makati City, Manila","3","","","","LTFRB_PUB1109"
"LTFRB","","Baclaran - Grotto via Commonwealth Ave","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte","3","","","","LTFRB_PUB1111"
"LTFRB","","Baclaran - Grotto via Commonwealth Ave","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Roxas Blvd, Parañaque City, Manila","3","","","","LTFRB_PUB1112"
"LTFRB","","Baclaran - Minuyan via Commonwealth Ave","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Quirino Highway, City of San Jose del Monte","3","","","","LTFRB_PUB1113"
"LTFRB","","Baclaran - Minuyan via Commonwealth Ave","Quirino Highway, City of San Jose del Monte - Roxas Blvd, Parañaque City, Manila","3","","","","LTFRB_PUB1114"
"LTFRB","","Baclaran - Montalban via EDSA","MALTC Bus Station, Gen. A Luna, San Mateo - Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1116"
"LTFRB","","Baclaran-BgSilang via Edsa Commonwealth","Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Green Construction Supply, Langit Road, Caloocan City","3","","FFFFFF","","LTFRB_PUB1117"
"LTFRB","","Baclaran-BgSilang via Edsa Commonwealth","Green Construction Supply, Langit Road, Caloocan City - Roxas Blvd, Parañaque City, Manila","3","","FFFFFF","","LTFRB_PUB1118"
"LTFRB","","Alabang - Navotas Terminal via EDSA","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City","3","","FFFFFF","","LTFRB_PUB1119"
